 time            vo              q               p1              p2             
 0.00000000e+00  0.00000000e+00  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 1.00000000e-12  1.39742731e-19  5.91580967e-08  0.00000000e+00  1.18800000e+00 
 2.00000000e-12  1.06178692e-19  5.91581009e-08  0.00000000e+00  1.17600000e+00 
 4.00000000e-12  2.83336504e-19  5.91580960e-08  0.00000000e+00  1.15200000e+00 
 8.00000000e-12  1.02710225e-18  5.91580941e-08  0.00000000e+00  1.10400000e+00 
 1.60000000e-11  1.36952487e-18  5.91581014e-08  0.00000000e+00  1.00800000e+00 
 3.20000000e-11  3.27886173e-18  5.91580960e-08  0.00000000e+00  8.16000000e-01 
 3.64166667e-11  3.21383000e-18  5.91581011e-08  0.00000000e+00  7.63000000e-01 
 4.41458333e-11  3.39510304e-18  5.91580990e-08  0.00000000e+00  6.70250000e-01 
 5.27031250e-11 -1.05172538e-11  5.91568143e-08  0.00000000e+00  5.67562500e-01 
 6.98177083e-11 -3.81829907e-11  5.91592564e-08  0.00000000e+00  3.62187500e-01 
 1.00000000e-10 -9.17319045e-11  5.91582256e-08  0.00000000e+00  0.00000000e+00 
 1.03422917e-10 -9.81492139e-11  5.91579099e-08  0.00000000e+00  0.00000000e+00 
 1.10268750e-10 -1.10983832e-10  5.91577398e-08  0.00000000e+00  0.00000000e+00 
 1.23960417e-10 -1.36653071e-10  5.91579458e-08  0.00000000e+00  0.00000000e+00 
 1.51343750e-10 -1.87991549e-10  5.91581613e-08  0.00000000e+00  0.00000000e+00 
 2.06110417e-10 -2.90668504e-10  5.91581554e-08  0.00000000e+00  0.00000000e+00 
 3.15643750e-10 -4.96022417e-10  5.91581026e-08  0.00000000e+00  0.00000000e+00 
 5.34710417e-10 -9.06730239e-10  5.91580946e-08  0.00000000e+00  0.00000000e+00 
 9.72843750e-10 -1.72814586e-09  5.91581002e-08  0.00000000e+00  0.00000000e+00 
 1.84911042e-09 -3.37097698e-09  5.91581002e-08  0.00000000e+00  0.00000000e+00 
 3.60164375e-09 -6.65663881e-09  5.91581000e-08  0.00000000e+00  0.00000000e+00 
 5.00000000e-09 -9.27828653e-09  5.91580999e-08  0.00000000e+00  0.00000000e+00 
 5.01000000e-09 -9.29703744e-09  1.37360804e-05  1.20000000e-01  0.00000000e+00 
 5.03000000e-09 -9.33453346e-09 -9.54626580e-06  3.60000000e-01  0.00000000e+00 
 5.03479167e-09 -9.34351605e-09 -1.00442871e-05  4.17500000e-01  0.00000000e+00 
 5.04317708e-09 -9.35923523e-09 -1.18850101e-05  5.18125000e-01  0.00000000e+00 
 5.05246094e-09 -9.38804325e-09 -2.73190525e-05  6.29531250e-01  0.00000000e+00 
 5.06130826e-09 -9.41932574e-09 -6.17096444e-05  7.35699074e-01  0.00000000e+00 
 5.06920577e-09 -9.44837556e-09 -1.06288904e-04  8.30469183e-01  0.00000000e+00 
 5.07842976e-09 -9.48269743e-09 -1.39201650e-04  9.41157136e-01  0.00000000e+00 
 5.08871302e-09 -9.52110232e-09 -1.64953607e-04  1.06455629e+00  0.00000000e+00 
 5.09688168e-09 -9.55164223e-09 -1.48525124e-04  1.16258011e+00  0.00000000e+00 
 5.10000000e-09 -9.56330349e-09 -8.46143139e-05  1.20000000e+00  0.00000000e+00 
 5.10073514e-09 -9.56605271e-09 -7.32653139e-05  1.20000000e+00  0.00000000e+00 
 5.10220543e-09 -9.57155091e-09 -5.87101192e-06  1.20000000e+00  0.00000000e+00 
 5.10463673e-09 -9.58064201e-09  1.82967949e-04  1.20000000e+00  0.00000000e+00 
 5.10773318e-09 -9.59221869e-09  4.04740124e-04  1.20000000e+00  0.00000000e+00 
 5.11340789e-09 -9.61343000e-09  5.81702062e-04  1.20000000e+00  0.00000000e+00 
 5.11954361e-09 -9.63635778e-09  5.68816715e-04  1.20000000e+00  0.00000000e+00 
 5.12546140e-09 -9.65846452e-09  5.82091886e-04  1.20000000e+00  0.00000000e+00 
 5.13007254e-09 -9.67568554e-09  4.21269159e-04  1.20000000e+00  0.00000000e+00 
 5.13547553e-09 -9.69585883e-09  3.91675749e-05  1.20000000e+00  0.00000000e+00 
 5.14049000e-09 -9.71457659e-09 -2.91551309e-04  1.20000000e+00  0.00000000e+00 
 5.14802211e-09 -9.74268327e-09 -4.59047186e-04  1.20000000e+00  0.00000000e+00 
 5.15410702e-09 -9.76538188e-09 -3.71311805e-04  1.20000000e+00  0.00000000e+00 
 5.16124058e-09 -9.79198346e-09 -2.06130263e-04  1.20000000e+00  0.00000000e+00 
 5.16890308e-09 -9.82054697e-09 -7.28921632e-05  1.20000000e+00  0.00000000e+00 
 5.17825877e-09 -9.85540735e-09  5.90434539e-06  1.20000000e+00  0.00000000e+00 
 5.19004806e-09 -9.89931234e-09  3.12846021e-05  1.20000000e+00  0.00000000e+00 
 5.20646416e-09 -9.96040517e-09  2.45532812e-05  1.20000000e+00  0.00000000e+00 
 5.23150590e-09 -1.00535020e-08  8.25891759e-06  1.20000000e+00  0.00000000e+00 
 5.27687108e-09 -1.02218581e-08 -1.77945814e-06  1.20000000e+00  0.00000000e+00 
 5.33586839e-09 -1.04402345e-08 -1.95024106e-06  1.20000000e+00  0.00000000e+00 
 5.43197606e-09 -1.07945981e-08 -4.02343581e-07  1.20000000e+00  0.00000000e+00 
 5.56627590e-09 -1.12869408e-08  1.15606794e-07  1.20000000e+00  0.00000000e+00 
 5.79057862e-09 -1.21019092e-08  1.07778178e-07  1.20000000e+00  0.00000000e+00 
 6.12362844e-09 -1.32952954e-08  6.37600485e-08  1.20000000e+00  0.00000000e+00 
 6.68652190e-09 -1.52678071e-08  5.77850060e-08  1.20000000e+00  0.00000000e+00 
 7.54867181e-09 -1.81840086e-08  5.89550905e-08  1.20000000e+00  0.00000000e+00 
 8.99449484e-09 -2.28036557e-08  5.91711929e-08  1.20000000e+00  0.00000000e+00 
 1.06681541e-08 -2.77538639e-08  5.91600241e-08  1.20000000e+00  0.00000000e+00 
 1.26447429e-08 -3.30943048e-08  5.91581064e-08  1.20000000e+00  0.00000000e+00 
 1.47826044e-08 -3.83087573e-08  5.91581149e-08  1.20000000e+00  0.00000000e+00 
 1.71604894e-08 -4.34922835e-08  5.91581128e-08  1.20000000e+00  0.00000000e+00 
 1.97082065e-08 -4.84044115e-08  5.91581071e-08  1.20000000e+00  0.00000000e+00 
 2.24946907e-08 -5.31080106e-08  5.91581045e-08  1.20000000e+00  0.00000000e+00 
 2.54764494e-08 -5.74663948e-08  5.91581028e-08  1.20000000e+00  0.00000000e+00 
 2.87122469e-08 -6.15161782e-08  5.91581021e-08  1.20000000e+00  0.00000000e+00 
 3.21767406e-08 -6.51836837e-08  5.91581016e-08  1.20000000e+00  0.00000000e+00 
 3.59246849e-08 -6.84966378e-08  5.91581010e-08  1.20000000e+00  0.00000000e+00 
 3.99480813e-08 -7.14244037e-08  5.91581009e-08  1.20000000e+00  0.00000000e+00 
 4.43041022e-08 -7.39941093e-08  5.91581008e-08  1.20000000e+00  0.00000000e+00 
 4.90038951e-08 -7.62032660e-08  5.91581005e-08  1.20000000e+00  0.00000000e+00 
 5.41146339e-08 -7.80810619e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 5.96722673e-08 -7.96424229e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 6.57657777e-08 -8.09187499e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 7.24691011e-08 -8.19348546e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 7.99150773e-08 -8.27233031e-08  5.91580998e-08  1.20000000e+00  0.00000000e+00 
 8.82453933e-08 -8.33134419e-08  5.91581003e-08  1.20000000e+00  0.00000000e+00 
 9.76844065e-08 -8.37373783e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 1.07684406e-07 -8.40066575e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.17684406e-07 -8.41623561e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 1.27684406e-07 -8.42507349e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.37684406e-07 -8.43001890e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 1.47684406e-07 -8.43275484e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 1.57684406e-07 -8.43425442e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 1.67684406e-07 -8.43507003e-08  5.91581003e-08  1.20000000e+00  0.00000000e+00 
 1.77684406e-07 -8.43551073e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 1.87684406e-07 -8.43574753e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 1.97684406e-07 -8.43587416e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.07684406e-07 -8.43594159e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 2.17684406e-07 -8.43597736e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 2.27684406e-07 -8.43599627e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 2.37684406e-07 -8.43600624e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 2.47684406e-07 -8.43601148e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 2.57684406e-07 -8.43601423e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 2.67684406e-07 -8.43601567e-08  5.91581003e-08  1.20000000e+00  0.00000000e+00 
 2.77684406e-07 -8.43601642e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 2.87684406e-07 -8.43601681e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 2.97684406e-07 -8.43601701e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.07684406e-07 -8.43601712e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.17684406e-07 -8.43601717e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.27684406e-07 -8.43601720e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.37684406e-07 -8.43601721e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.47684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 3.57684406e-07 -8.43601722e-08  5.91580999e-08  1.20000000e+00  0.00000000e+00 
 3.67684406e-07 -8.43601723e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.77684406e-07 -8.43601723e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 3.87684406e-07 -8.43601723e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 3.97684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.07684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 4.17684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 4.27684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.37684406e-07 -8.43601722e-08  5.91581000e-08  1.20000000e+00  0.00000000e+00 
 4.47684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.57684406e-07 -8.43601722e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 4.67684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.77684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 4.87684406e-07 -8.43601722e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 4.97684406e-07 -8.43601722e-08  5.91581001e-08  1.20000000e+00  0.00000000e+00 
 5.00000000e-07 -8.43601722e-08  5.91581002e-08  1.20000000e+00  0.00000000e+00 
 5.00010000e-07 -8.43601722e-08  1.65130001e-05  1.20000000e+00  0.00000000e+00 
 5.00030000e-07 -8.43601722e-08 -9.20843237e-06  1.20000000e+00  0.00000000e+00 
 5.00037958e-07 -8.43601722e-08 -1.06221959e-05  1.20000000e+00  0.00000000e+00 
 5.00048238e-07 -8.43601722e-08 -1.68092820e-05  1.20000000e+00  0.00000000e+00 
 5.00056211e-07 -8.43601722e-08 -3.25438832e-05  1.20000000e+00  0.00000000e+00 
 5.00065292e-07 -8.43601722e-08 -2.86558873e-05  1.20000000e+00  0.00000000e+00 
 5.00073297e-07 -8.43601722e-08  1.38706252e-05  1.20000000e+00  0.00000000e+00 
 5.00078127e-07 -8.43601722e-08  3.56105807e-05  1.20000000e+00  0.00000000e+00 
 5.00084945e-07 -8.43601722e-08  3.72702055e-05  1.20000000e+00  0.00000000e+00 
 5.00091228e-07 -8.43601722e-08  2.21224609e-05  1.20000000e+00  0.00000000e+00 
 5.00098814e-07 -8.43601722e-08  5.58262020e-06  1.20000000e+00  0.00000000e+00 
 5.00100000e-07 -8.43601722e-08  3.54087766e-06  1.20000000e+00  0.00000000e+00 
 5.00100390e-07 -8.43601722e-08 -2.10231735e-05  1.19531473e+00  0.00000000e+00 
 5.00101171e-07 -8.43601722e-08 -6.34132959e-05  1.18594418e+00  0.00000000e+00 
 5.00102582e-07 -8.43601722e-08 -8.26499013e-05  1.16901809e+00  0.00000000e+00 
 5.00104409e-07 -8.43601722e-08 -5.27366864e-05  1.14709762e+00  0.00000000e+00 
 5.00108062e-07 -8.43601722e-08  7.12440946e-06  1.10325666e+00  0.00000000e+00 
 5.00115369e-07 -8.43601722e-08  3.46760087e-05  1.01557475e+00  0.00000000e+00 
 5.00126566e-07 -8.43601722e-08  1.36192690e-05  8.81211486e-01  0.00000000e+00 
 5.00135484e-07 -8.43601722e-08 -3.71688562e-07  7.74187154e-01  0.00000000e+00 
 5.00150538e-07 -8.43428380e-08  9.25528427e-06  5.93546789e-01  0.00000000e+00 
 5.00159435e-07 -8.43279057e-08  3.59918126e-05  4.86782780e-01  0.00000000e+00 
 5.00167701e-07 -8.43129435e-08  6.49191888e-05  3.87588060e-01  0.00000000e+00 
 5.00178465e-07 -8.42930263e-08  7.41587944e-05  2.58424680e-01  0.00000000e+00 
 5.00189241e-07 -8.42729204e-08  6.17930937e-05  1.29113721e-01  0.00000000e+00 
 5.00200000e-07 -8.42527801e-08 -4.11872002e-06  0.00000000e+00  0.00000000e+00 
 5.00201294e-07 -8.42503539e-08 -3.29703142e-06  0.00000000e+00  0.00000000e+00 
 5.00203882e-07 -8.42454988e-08 -8.97298332e-05  0.00000000e+00  0.00000000e+00 
 5.00208599e-07 -8.42366339e-08 -3.19987835e-04  0.00000000e+00  0.00000000e+00 
 5.00213546e-07 -8.42273200e-08 -4.67396140e-04  0.00000000e+00  0.00000000e+00 
 5.00219736e-07 -8.42156612e-08 -4.38736037e-04  0.00000000e+00  0.00000000e+00 
 5.00224970e-07 -8.42058140e-08 -2.80668596e-04  0.00000000e+00  0.00000000e+00 
 5.00229931e-07 -8.41964949e-08 -9.98825843e-05  0.00000000e+00  0.00000000e+00 
 5.00234523e-07 -8.41878834e-08  4.34199776e-05  0.00000000e+00  0.00000000e+00 
 5.00238288e-07 -8.41808337e-08  1.79874572e-04  0.00000000e+00  0.00000000e+00 
 5.00242960e-07 -8.41720994e-08  3.29393250e-04  0.00000000e+00  0.00000000e+00 
 5.00248191e-07 -8.41623313e-08  4.19463586e-04  0.00000000e+00  0.00000000e+00 
 5.00252943e-07 -8.41534584e-08  3.81214212e-04  0.00000000e+00  0.00000000e+00 
 5.00257696e-07 -8.41445758e-08  2.48444256e-04  0.00000000e+00  0.00000000e+00 
 5.00264109e-07 -8.41325733e-08  6.74891626e-05  0.00000000e+00  0.00000000e+00 
 5.00270130e-07 -8.41212894e-08 -3.32463902e-05  0.00000000e+00  0.00000000e+00 
 5.00279411e-07 -8.41038815e-08 -7.72973842e-05  0.00000000e+00  0.00000000e+00 
 5.00290182e-07 -8.40836752e-08 -6.11227886e-05  0.00000000e+00  0.00000000e+00 
 5.00305528e-07 -8.40548931e-08 -2.73347546e-05  0.00000000e+00  0.00000000e+00 
 5.00324094e-07 -8.40200786e-08 -5.89799393e-06  0.00000000e+00  0.00000000e+00 
 5.00351414e-07 -8.39688570e-08  2.21828125e-06  0.00000000e+00  0.00000000e+00 
 5.00390945e-07 -8.38947425e-08  2.07384654e-06  0.00000000e+00  0.00000000e+00 
 5.00470008e-07 -8.37465145e-08  6.18981183e-07  0.00000000e+00  0.00000000e+00 
 5.00604099e-07 -8.34951211e-08  1.33279696e-07  0.00000000e+00  0.00000000e+00 
 5.00865719e-07 -8.30046328e-08  4.03590953e-08  0.00000000e+00  0.00000000e+00 
 5.01181357e-07 -8.24128734e-08  4.75988513e-08  0.00000000e+00  0.00000000e+00 
 5.01494681e-07 -8.18254510e-08  5.71731790e-08  0.00000000e+00  0.00000000e+00 
 5.01716196e-07 -8.14101523e-08  5.95306158e-08  0.00000000e+00  0.00000000e+00 
 5.01999512e-07 -8.08789908e-08  5.84613026e-08  0.00000000e+00  0.00000000e+00 
 5.02099041e-07 -8.06923921e-08  5.69235554e-08  0.00000000e+00  0.00000000e+00 
 5.02176067e-07 -8.05479841e-08  5.98635743e-08  0.00000000e+00  0.00000000e+00 
 5.02275140e-07 -8.03622402e-08  6.33479342e-08  0.00000000e+00  0.00000000e+00 
 5.02326316e-07 -8.02662959e-08  7.62593937e-08  0.00000000e+00  0.00000000e+00 
 5.02364225e-07 -8.01952234e-08  1.04342437e-07  0.00000000e+00  0.00000000e+00 
 5.02414637e-07 -8.01007101e-08 -3.80112127e-08  0.00000000e+00  0.00000000e+00 
 5.02458340e-07 -8.00187756e-08  4.32890561e-08  0.00000000e+00  0.00000000e+00 
 5.02513804e-07 -7.99147924e-08  1.04553206e-07  0.00000000e+00  0.00000000e+00 
 5.02595207e-07 -7.97621760e-08  6.34730073e-08  0.00000000e+00  0.00000000e+00 
 5.02758015e-07 -7.94569432e-08  5.01857939e-08  0.00000000e+00  0.00000000e+00 
 5.03011840e-07 -7.89810696e-08  5.88138769e-08  0.00000000e+00  0.00000000e+00 
 5.03268087e-07 -7.85006558e-08  5.97618053e-08  0.00000000e+00  0.00000000e+00 
 5.03547431e-07 -7.79769407e-08  5.96573270e-08  0.00000000e+00  0.00000000e+00 
 5.03826936e-07 -7.74529221e-08  5.86422234e-08  0.00000000e+00  0.00000000e+00 
 5.04108881e-07 -7.69243307e-08  5.90716632e-08  0.00000000e+00  0.00000000e+00 
 5.04576750e-07 -7.60471655e-08  5.92944717e-08  0.00000000e+00  0.00000000e+00 
 5.05100000e-07 -7.50661737e-08  5.91545072e-08  0.00000000e+00  0.00000000e+00 
 5.05110000e-07 -7.50474256e-08  5.96119094e-08  0.00000000e+00  1.20000000e-01 
 5.05130000e-07 -7.50099295e-08  5.90439911e-08  0.00000000e+00  3.60000000e-01 
 5.05134792e-07 -7.50009460e-08  5.87324193e-08  0.00000000e+00  4.17500000e-01 
 5.05143177e-07 -7.49852250e-08  5.86411113e-08  0.00000000e+00  5.18125000e-01 
 5.05147777e-07 -7.49766002e-08  5.87231505e-08  0.00000000e+00  5.73329594e-01 
 5.05152060e-07  1.07568435e-05  3.64390799e-06  0.00000000e+00  6.24716318e-01 
 5.05156451e-07  2.54182382e-05 -3.48902255e-06  0.00000000e+00  6.77411535e-01 
 5.05161169e-07  4.24414094e-05 -1.04435803e-05  0.00000000e+00  7.34024648e-01 
 5.05168292e-07  6.87583471e-05 -9.51084768e-06  0.00000000e+00  8.19500677e-01 
 5.05174690e-07  9.26176161e-05 -9.74525306e-07  0.00000000e+00  8.96283615e-01 
