 time            vo              q               p1              p2             
 0.00000000e+00  0.00000000e+00  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 1.00000000e-12  9.74723731e-20  5.91580978e-08  0.00000000e+00  1.18800000e+00 
 2.00000000e-12  2.49556428e-19  5.91580965e-08  0.00000000e+00  1.17600000e+00 
 4.00000000e-12  8.00463519e-19  5.91580915e-08  0.00000000e+00  1.15200000e+00 
 8.00000000e-12  1.92451352e-18  5.91580933e-08  0.00000000e+00  1.10400000e+00 
 1.60000000e-11  2.42033812e-18  5.91581021e-08  0.00000000e+00  1.00800000e+00 
 3.20000000e-11  4.14371651e-18  5.91580968e-08  0.00000000e+00  8.16000000e-01 
 3.64166667e-11  3.92575204e-18  5.91581021e-08  0.00000000e+00  7.63000000e-01 
 4.41458333e-11  3.92396868e-18  5.91580994e-08  0.00000000e+00  6.70250000e-01 
 5.27031250e-11 -1.05172533e-11  5.91568062e-08  0.00000000e+00  5.67562500e-01 
 6.98177083e-11 -3.81829903e-11  5.91592555e-08  0.00000000e+00  3.62187500e-01 
 1.00000000e-10 -9.17319042e-11  5.91582310e-08  0.00000000e+00  0.00000000e+00 
 1.03422917e-10 -9.81492136e-11  5.91579112e-08  0.00000000e+00  0.00000000e+00 
 1.10268750e-10 -1.10983832e-10  5.91577398e-08  0.00000000e+00  0.00000000e+00 
 1.23960417e-10 -1.36653071e-10  5.91579462e-08  0.00000000e+00  0.00000000e+00 
 1.51343750e-10 -1.87991548e-10  5.91581617e-08  0.00000000e+00  0.00000000e+00 
 2.06110417e-10 -2.90668504e-10  5.91581556e-08  0.00000000e+00  0.00000000e+00 
 3.15643750e-10 -4.96022417e-10  5.91581007e-08  0.00000000e+00  0.00000000e+00 
 5.34710417e-10 -9.06730239e-10  5.91580959e-08  0.00000000e+00  0.00000000e+00 
 9.72843750e-10 -1.72814586e-09  5.91580992e-08  0.00000000e+00  0.00000000e+00 
 1.84911042e-09 -3.37097698e-09  5.91581006e-08  0.00000000e+00  0.00000000e+00 
 3.60164375e-09 -6.65663881e-09  5.91580998e-08  0.00000000e+00  0.00000000e+00 
 5.00000000e-09 -9.27828653e-09  5.91581001e-08  0.00000000e+00  0.00000000e+00 
 5.01000000e-09 -9.29703744e-09  1.37360804e-05  1.20000000e-01  0.00000000e+00 
 5.03000000e-09 -9.33453346e-09 -9.54626580e-06  3.60000000e-01  0.00000000e+00 
 5.03479167e-09 -9.34351605e-09 -1.00442871e-05  4.17500000e-01  0.00000000e+00 
 5.04317708e-09 -9.35923523e-09 -1.18850101e-05  5.18125000e-01  0.00000000e+00 
 5.05246094e-09 -9.38804325e-09 -2.73190525e-05  6.29531250e-01  0.00000000e+00 
 5.06130826e-09 -9.41932574e-09 -6.17096444e-05  7.35699074e-01  0.00000000e+00 
 5.06920577e-09 -9.44837556e-09 -1.06288904e-04  8.30469183e-01  0.00000000e+00 
 5.07842976e-09 -9.48269743e-09 -1.39201650e-04  9.41157136e-01  0.00000000e+00 
 5.08871302e-09 -9.52110232e-09 -1.64953607e-04  1.06455629e+00  0.00000000e+00 
 5.09688168e-09 -9.55164223e-09 -1.48525124e-04  1.16258011e+00  0.00000000e+00 
 5.10000000e-09 -9.56330349e-09 -8.46143139e-05  1.20000000e+00  0.00000000e+00 
 5.10073514e-09 -9.56605271e-09 -7.32653139e-05  1.20000000e+00  0.00000000e+00 
 5.10220543e-09 -9.57155091e-09 -5.87101192e-06  1.20000000e+00  0.00000000e+00 
 5.10463673e-09 -9.58064201e-09  1.82967949e-04  1.20000000e+00  0.00000000e+00 
